customer_id,segment,gender,past_3_years_bike_related_purchases,wealth_segment,owns_car,tenure,state,age_group,property_valuation,age,ltv
73,Mid-Value,Female,16,Affluent Customer,Yes,5.0,NSW,"(59.0, 69.0]",8,60.0,2316.51
74,Mid-Value,Female,94,Mass Customer,Yes,6.0,QLD,"(49.0, 59.0]",8,51.0,966.5200000000001
75,Mid-Value,Female,28,Mass Customer,No,19.0,NSW,"(39.0, 49.0]",8,42.0,4979.94
76,Mid-Value,Female,20,High Net Worth,Yes,18.0,QLD,"(39.0, 49.0]",9,43.0,2868.16
77,Low-Value,Male,79,Mass Customer,No,7.0,QLD,"(29.0, 39.0]",5,31.0,1657.58
78,Low-Value,Male,37,Affluent Customer,No,8.0,NSW,"(29.0, 39.0]",9,36.0,82.26
79,Mid-Value,Female,76,Mass Customer,No,18.0,NSW,"(49.0, 59.0]",10,52.0,2597.46
80,High-Value,Male,11,Mass Customer,No,13.0,VIC,"(39.0, 49.0]",1,42.0,5988.86
81,Mid-Value,Female,58,High Net Worth,No,13.0,NSW,"(29.0, 39.0]",6,34.0,3249.02
82,Mid-Value,Female,93,High Net Worth,No,19.0,VIC,"(49.0, 59.0]",8,55.0,2924.37
83,Mid-Value,Male,97,Mass Customer,Yes,18.0,NSW,"(49.0, 59.0]",12,54.0,1798.1999999999998
84,Mid-Value,Male,78,Mass Customer,Yes,14.0,NSW,"(59.0, 69.0]",11,63.0,2295.22
85,Mid-Value,Male,1,Mass Customer,No,8.0,NSW,"(59.0, 69.0]",11,62.0,563.3699999999999
86,Mid-Value,Male,75,High Net Worth,Yes,7.0,NSW,"(29.0, 39.0]",11,32.0,2360.09
87,Mid-Value,Male,78,Mass Customer,No,8.0,NSW,"(39.0, 49.0]",12,46.0,3740.7599999999993
88,Mid-Value,Female,41,High Net Worth,Yes,7.0,NSW,"(49.0, 59.0]",12,55.0,2534.33
89,High-Value,Male,74,Mass Customer,Yes,14.0,NSW,"(49.0, 59.0]",11,54.0,5779.65
90,Mid-Value,Male,76,Mass Customer,No,11.0,NSW,"(29.0, 39.0]",10,36.0,2990.73
91,Mid-Value,Male,69,Affluent Customer,Yes,17.0,NSW,"(59.0, 69.0]",9,66.0,5242.410000000001
92,Mid-Value,Female,98,Mass Customer,No,12.0,VIC,"(39.0, 49.0]",10,40.0,2967.4399999999996
93,Mid-Value,Male,63,Mass Customer,Yes,10.0,VIC,"(39.0, 49.0]",10,44.0,2976.4099999999994
94,Mid-Value,Male,33,Mass Customer,No,21.0,NSW,"(39.0, 49.0]",7,46.0,4902.21
95,Mid-Value,Female,67,Affluent Customer,Yes,8.0,VIC,"(59.0, 69.0]",10,60.0,3050.8099999999995
96,Low-Value,Male,33,Mass Customer,No,15.0,NSW,"(49.0, 59.0]",11,52.0,1135.25
97,Mid-Value,Male,16,Mass Customer,Yes,10.0,NSW,"(39.0, 49.0]",8,41.0,4911.209999999999
98,Mid-Value,Female,19,Mass Customer,No,7.0,NSW,"(59.0, 69.0]",10,65.0,1930.5600000000002
99,Mid-Value,Male,97,Mass Customer,No,3.0,NSW,"(19.0, 29.0]",9,22.0,4557.6500000000015
100,Mid-Value,Male,80,Mass Customer,Yes,4.0,NSW,"(49.0, 59.0]",12,52.0,877.4
101,Mid-Value,Male,83,High Net Worth,No,11.0,NSW,"(39.0, 49.0]",10,45.0,2589.89
102,Mid-Value,Male,51,Affluent Customer,No,16.0,NSW,"(59.0, 69.0]",9,64.0,2587.01
103,Mid-Value,Female,49,Affluent Customer,Yes,4.0,NSW,"(19.0, 29.0]",12,23.0,913.3199999999999
104,Mid-Value,Female,40,Mass Customer,Yes,9.0,QLD,"(39.0, 49.0]",10,42.0,3550.2600000000007
105,Mid-Value,Female,25,Mass Customer,No,1.0,NSW,"(10.0, 19.0]",10,19.0,3475.04
106,Mid-Value,Male,54,High Net Worth,Yes,18.0,NSW,"(49.0, 59.0]",9,54.0,2513.6899999999996
107,Low-Value,Female,97,Mass Customer,Yes,9.0,NSW,"(29.0, 39.0]",12,30.0,2343.9700000000003
108,Mid-Value,Female,4,High Net Worth,No,3.0,NSW,"(19.0, 29.0]",8,27.0,2557.42
109,High-Value,Male,16,Affluent Customer,Yes,4.0,NSW,"(39.0, 49.0]",11,42.0,4430.660000000001
110,Mid-Value,Male,23,Affluent Customer,No,1.0,VIC,"(19.0, 29.0]",8,20.0,2621.55
111,Low-Value,Female,65,Mass Customer,No,2.0,NSW,"(19.0, 29.0]",12,27.0,3014.53
112,Mid-Value,Female,88,High Net Worth,No,12.0,VIC,"(39.0, 49.0]",11,45.0,5742.19
113,Mid-Value,Male,67,Mass Customer,No,20.0,QLD,"(59.0, 69.0]",4,64.0,2329.4900000000002
114,Low-Value,Female,10,Affluent Customer,No,8.0,NSW,"(29.0, 39.0]",9,35.0,2195.2599999999998
115,Mid-Value,Male,77,Mass Customer,No,18.0,VIC,"(29.0, 39.0]",1,39.0,3135.87
116,Mid-Value,Male,49,Affluent Customer,Yes,2.0,NSW,"(19.0, 29.0]",8,22.0,2447.54
117,High-Value,Female,75,Mass Customer,No,15.0,QLD,"(29.0, 39.0]",6,39.0,6917.34
118,Mid-Value,Male,43,High Net Worth,No,19.0,VIC,"(59.0, 69.0]",10,61.0,3550.0999999999995
119,Mid-Value,Male,9,High Net Worth,Yes,9.0,VIC,"(29.0, 39.0]",7,39.0,4217.24
120,Low-Value,Male,80,High Net Worth,Yes,4.0,NSW,"(39.0, 49.0]",2,42.0,1306.7800000000002
121,Low-Value,Male,82,Mass Customer,No,15.0,NSW,"(59.0, 69.0]",9,63.0,2892.0899999999992
122,Mid-Value,Male,87,Mass Customer,Yes,12.0,QLD,"(39.0, 49.0]",2,41.0,2695.2200000000003
123,Low-Value,Female,85,High Net Worth,No,15.0,NSW,"(29.0, 39.0]",8,32.0,3245.75
124,Mid-Value,Female,27,High Net Worth,Yes,5.0,VIC,"(19.0, 29.0]",8,25.0,4054.2499999999995
125,Mid-Value,Female,94,Mass Customer,No,16.0,NSW,"(59.0, 69.0]",10,61.0,3345.01
126,Mid-Value,Male,53,Mass Customer,Yes,3.0,QLD,"(19.0, 29.0]",4,28.0,1096.4600000000003
127,High-Value,Female,81,Mass Customer,No,19.0,QLD,"(39.0, 49.0]",1,46.0,3993.7100000000005
128,Low-Value,Male,73,Mass Customer,Yes,12.0,NSW,"(39.0, 49.0]",5,43.0,2193.0600000000004
129,Low-Value,Male,64,High Net Worth,Yes,19.0,NSW,"(29.0, 39.0]",9,35.0,2753.7499999999995
130,Low-Value,Male,32,Mass Customer,No,1.0,NSW,"(19.0, 29.0]",7,23.0,1779.58
131,Mid-Value,Female,57,High Net Worth,No,8.0,QLD,"(49.0, 59.0]",3,56.0,5494.910000000001
132,Mid-Value,Female,5,Mass Customer,Yes,9.0,NSW,"(49.0, 59.0]",8,57.0,2780.7200000000003
133,Mid-Value,Male,12,Mass Customer,Yes,16.0,QLD,"(39.0, 49.0]",1,43.0,803.89
134,Mid-Value,Female,34,Affluent Customer,Yes,5.0,NSW,"(19.0, 29.0]",11,23.0,2946.4199999999996
135,Mid-Value,Female,18,Mass Customer,No,3.0,VIC,"(39.0, 49.0]",6,46.0,4549.5
136,Mid-Value,Male,46,High Net Worth,Yes,7.0,QLD,"(39.0, 49.0]",3,47.0,3543.2
137,Mid-Value,Male,27,High Net Worth,No,10.0,NSW,"(29.0, 39.0]",10,33.0,1496.4499999999998
138,Mid-Value,Male,5,Affluent Customer,Yes,13.0,NSW,"(29.0, 39.0]",9,35.0,3377.12
139,High-Value,Male,1,Affluent Customer,No,4.0,QLD,"(49.0, 59.0]",1,56.0,5161.44
140,Mid-Value,Male,9,Mass Customer,No,2.0,VIC,"(19.0, 29.0]",9,26.0,2699.8999999999996
141,Low-Value,Male,67,High Net Worth,Yes,10.0,NSW,"(59.0, 69.0]",11,66.0,2138.3500000000004
142,High-Value,Male,57,Affluent Customer,No,17.0,VIC,"(49.0, 59.0]",9,53.0,3917.3399999999992
143,Mid-Value,Male,19,Mass Customer,Yes,11.0,QLD,"(59.0, 69.0]",6,63.0,2474.7699999999995
144,Mid-Value,,71,Mass Customer,No,,NSW,,3,,4888.02
145,Mid-Value,Male,33,Mass Customer,No,4.0,NSW,"(19.0, 29.0]",5,23.0,3140.3
146,Low-Value,Male,34,Mass Customer,No,8.0,NSW,"(29.0, 39.0]",11,35.0,217.05999999999995
147,Mid-Value,Female,32,Mass Customer,Yes,10.0,NSW,"(39.0, 49.0]",11,47.0,5034.16
148,Mid-Value,Female,69,Mass Customer,Yes,5.0,VIC,"(29.0, 39.0]",8,39.0,3268.4000000000005
149,Mid-Value,Female,41,Mass Customer,Yes,1.0,QLD,"(19.0, 29.0]",7,26.0,2204.48
150,Low-Value,Male,6,Affluent Customer,No,17.0,NSW,"(29.0, 39.0]",7,37.0,2446.51
151,High-Value,Male,36,Mass Customer,Yes,13.0,NSW,"(49.0, 59.0]",9,56.0,5665.410000000001
152,Low-Value,Female,5,Mass Customer,No,16.0,NSW,"(39.0, 49.0]",12,40.0,1966.88
153,Mid-Value,Female,73,Mass Customer,Yes,12.0,NSW,"(39.0, 49.0]",8,43.0,5522.509999999999
154,Mid-Value,Female,90,Mass Customer,No,11.0,NSW,"(59.0, 69.0]",8,63.0,683.6300000000001
155,Mid-Value,Male,4,Mass Customer,No,10.0,NSW,"(29.0, 39.0]",10,35.0,1088.42
156,Mid-Value,Female,23,Mass Customer,Yes,11.0,VIC,"(39.0, 49.0]",11,41.0,3095.3699999999994
157,Low-Value,Male,97,Affluent Customer,No,16.0,VIC,"(39.0, 49.0]",8,46.0,492.2299999999999
158,Mid-Value,Male,99,Affluent Customer,No,5.0,NSW,"(29.0, 39.0]",6,36.0,4627.35
159,Mid-Value,Male,90,Affluent Customer,No,13.0,NSW,"(29.0, 39.0]",10,33.0,2935.370000000001
160,Low-Value,Male,5,Mass Customer,No,18.0,NSW,"(49.0, 59.0]",11,56.0,2614.1600000000003
161,Low-Value,Male,49,Mass Customer,No,16.0,NSW,"(39.0, 49.0]",10,45.0,459.46000000000015
162,Low-Value,Male,90,Mass Customer,No,15.0,NSW,"(39.0, 49.0]",10,41.0,1329.61
163,Low-Value,Female,58,High Net Worth,Yes,14.0,VIC,"(39.0, 49.0]",10,44.0,1101.28
164,Low-Value,Female,55,Affluent Customer,Yes,1.0,QLD,"(19.0, 29.0]",4,21.0,786.1400000000001
165,Mid-Value,Male,61,Mass Customer,Yes,12.0,NSW,"(29.0, 39.0]",10,36.0,6182.52
166,Mid-Value,Male,54,Affluent Customer,No,6.0,QLD,"(59.0, 69.0]",4,65.0,4197.44
167,Mid-Value,Female,95,High Net Worth,Yes,17.0,QLD,"(49.0, 59.0]",6,51.0,5993.340000000001
168,Mid-Value,,8,Affluent Customer,Yes,,VIC,,6,,5800.6
169,Low-Value,Male,20,High Net Worth,Yes,5.0,NSW,"(59.0, 69.0]",9,63.0,696.26
170,Low-Value,Male,80,High Net Worth,No,21.0,VIC,"(39.0, 49.0]",8,45.0,1820.8100000000002
171,Mid-Value,Female,62,Mass Customer,No,10.0,NSW,"(49.0, 59.0]",11,50.0,4833.139999999999
172,Mid-Value,Male,54,Affluent Customer,Yes,6.0,VIC,"(29.0, 39.0]",4,32.0,2348.66
173,High-Value,Female,99,Affluent Customer,No,1.0,NSW,"(19.0, 29.0]",8,24.0,6549.509999999998
174,High-Value,Female,93,Mass Customer,No,12.0,NSW,"(29.0, 39.0]",9,31.0,7628.24
175,Mid-Value,Male,36,Affluent Customer,No,5.0,VIC,"(39.0, 49.0]",11,45.0,2170.54
176,Mid-Value,Male,39,Mass Customer,No,10.0,NSW,"(19.0, 29.0]",8,28.0,3090.0700000000006
177,High-Value,Female,25,High Net Worth,No,4.0,NSW,"(29.0, 39.0]",5,31.0,4108.6
178,Mid-Value,Male,2,Affluent Customer,No,8.0,NSW,"(49.0, 59.0]",7,53.0,2184.5800000000004
179,Mid-Value,Male,23,High Net Worth,Yes,6.0,NSW,"(49.0, 59.0]",9,54.0,1814.59
180,Mid-Value,Female,16,Affluent Customer,No,14.0,QLD,"(39.0, 49.0]",8,49.0,4065.3500000000004
181,Mid-Value,Female,49,Mass Customer,No,9.0,VIC,"(29.0, 39.0]",1,38.0,2365.24
182,Mid-Value,Male,99,Affluent Customer,Yes,7.0,QLD,"(19.0, 29.0]",4,28.0,5409.120000000001
183,Mid-Value,Female,7,Affluent Customer,No,3.0,NSW,"(19.0, 29.0]",10,23.0,3187.8399999999997
184,Mid-Value,Male,40,High Net Worth,Yes,7.0,NSW,"(39.0, 49.0]",1,49.0,2181.3500000000004
185,Mid-Value,Male,80,Mass Customer,Yes,13.0,NSW,"(39.0, 49.0]",5,41.0,3547.6800000000003
186,Mid-Value,Female,46,Mass Customer,No,3.0,QLD,"(39.0, 49.0]",7,46.0,2166.17
187,Mid-Value,Male,97,Mass Customer,No,11.0,NSW,"(59.0, 69.0]",10,67.0,3014.88
188,Mid-Value,Female,54,High Net Worth,Yes,13.0,NSW,"(39.0, 49.0]",11,45.0,2658.87
189,Mid-Value,Male,73,Affluent Customer,No,10.0,VIC,"(29.0, 39.0]",4,39.0,5329.98
190,Mid-Value,Female,42,Affluent Customer,No,10.0,NSW,"(39.0, 49.0]",9,42.0,704.2800000000002
191,Low-Value,Male,22,Affluent Customer,Yes,6.0,NSW,"(59.0, 69.0]",7,60.0,834.9399999999998
192,Low-Value,Female,2,Mass Customer,Yes,8.0,VIC,"(39.0, 49.0]",6,42.0,1519.4700000000005
193,Mid-Value,Male,13,Mass Customer,Yes,12.0,QLD,"(49.0, 59.0]",7,56.0,2551.4999999999995
194,Low-Value,Female,4,Affluent Customer,No,10.0,QLD,"(39.0, 49.0]",5,46.0,2608.2800000000007
195,High-Value,Female,34,Mass Customer,No,6.0,VIC,"(59.0, 69.0]",9,62.0,9633.409999999998
196,Mid-Value,Male,90,High Net Worth,No,6.0,NSW,"(49.0, 59.0]",8,55.0,3737.9999999999995
197,Mid-Value,Female,32,High Net Worth,No,5.0,NSW,"(39.0, 49.0]",12,44.0,3651.7100000000005
198,Mid-Value,Female,82,Mass Customer,No,16.0,VIC,"(29.0, 39.0]",7,39.0,6631.87
199,Mid-Value,Female,61,Mass Customer,Yes,21.0,NSW,"(39.0, 49.0]",8,43.0,2650.5299999999997
200,High-Value,Male,7,Affluent Customer,Yes,19.0,QLD,"(59.0, 69.0]",2,64.0,7283.86
201,Mid-Value,Male,45,Mass Customer,Yes,11.0,NSW,"(49.0, 59.0]",9,54.0,4369.02
202,Mid-Value,Female,38,Affluent Customer,Yes,16.0,QLD,"(49.0, 59.0]",5,57.0,1295.9100000000003
203,Mid-Value,Male,71,Mass Customer,Yes,11.0,NSW,"(49.0, 59.0]",11,57.0,1481.12
204,High-Value,Male,56,Mass Customer,No,5.0,VIC,"(39.0, 49.0]",10,44.0,6287.290000000001
205,Mid-Value,Male,18,Mass Customer,Yes,6.0,VIC,"(59.0, 69.0]",9,62.0,2008.2699999999998
206,Mid-Value,Female,98,Mass Customer,Yes,14.0,NSW,"(59.0, 69.0]",9,66.0,3816.6499999999996
207,Low-Value,Female,9,Mass Customer,No,7.0,QLD,"(19.0, 29.0]",8,26.0,1630.0300000000002
208,Mid-Value,Male,57,High Net Worth,No,5.0,QLD,"(19.0, 29.0]",7,26.0,3342.02
209,Mid-Value,Male,9,Affluent Customer,Yes,6.0,NSW,"(59.0, 69.0]",11,63.0,3081.0700000000006
210,Mid-Value,Male,50,Mass Customer,No,18.0,VIC,"(49.0, 59.0]",9,57.0,2957.0299999999997
211,Mid-Value,Female,6,Mass Customer,Yes,5.0,NSW,"(39.0, 49.0]",10,47.0,4090.05
212,Low-Value,Female,21,Affluent Customer,No,1.0,QLD,"(10.0, 19.0]",4,19.0,1790.41
213,High-Value,Male,13,High Net Worth,Yes,6.0,QLD,"(19.0, 29.0]",4,24.0,8544.5
214,Mid-Value,Male,82,Mass Customer,No,6.0,QLD,"(59.0, 69.0]",9,63.0,2498.8399999999997
215,Mid-Value,Female,37,High Net Worth,Yes,18.0,QLD,"(39.0, 49.0]",3,46.0,3889.3900000000012
216,Mid-Value,Female,12,High Net Worth,Yes,7.0,NSW,"(19.0, 29.0]",10,26.0,2152.05
217,High-Value,Female,63,High Net Worth,No,16.0,NSW,"(39.0, 49.0]",11,41.0,2335.6900000000005
218,Mid-Value,Female,37,High Net Worth,Yes,8.0,NSW,"(19.0, 29.0]",8,27.0,1476.17
219,Mid-Value,Male,9,Mass Customer,No,7.0,NSW,"(49.0, 59.0]",8,56.0,1688.3300000000002
220,Mid-Value,Female,79,High Net Worth,No,9.0,VIC,"(59.0, 69.0]",8,66.0,4304.11
221,Mid-Value,Female,14,Mass Customer,No,14.0,NSW,"(39.0, 49.0]",8,41.0,3865.68
222,Mid-Value,Male,89,Mass Customer,No,16.0,NSW,"(39.0, 49.0]",11,42.0,1428.06
223,Mid-Value,Male,13,Affluent Customer,Yes,14.0,NSW,"(29.0, 39.0]",7,37.0,4410.070000000001
224,Mid-Value,Male,2,Affluent Customer,No,17.0,NSW,"(49.0, 59.0]",12,53.0,3692.0900000000006
225,Mid-Value,Female,84,Affluent Customer,No,13.0,NSW,"(39.0, 49.0]",9,44.0,1587.5499999999997
226,Low-Value,Male,96,Mass Customer,No,20.0,NSW,"(39.0, 49.0]",7,43.0,1173.8600000000001
227,Mid-Value,Male,99,Mass Customer,No,18.0,NSW,"(39.0, 49.0]",9,47.0,3906.03
228,Mid-Value,Female,59,High Net Worth,No,12.0,NSW,"(29.0, 39.0]",7,34.0,3719.75
229,Mid-Value,Male,30,High Net Worth,No,19.0,NSW,"(49.0, 59.0]",10,55.0,1811.84
230,High-Value,Female,74,High Net Worth,No,11.0,NSW,"(59.0, 69.0]",11,66.0,5319.630000000001
231,Mid-Value,Male,48,Mass Customer,Yes,3.0,NSW,"(19.0, 29.0]",10,25.0,2344.5200000000004
232,Low-Value,Female,94,Mass Customer,No,12.0,NSW,"(29.0, 39.0]",9,33.0,3157.5899999999997
233,Mid-Value,Male,34,Mass Customer,No,13.0,NSW,"(29.0, 39.0]",10,34.0,2187.09
234,High-Value,Female,71,High Net Worth,No,12.0,NSW,"(49.0, 59.0]",10,51.0,5763.129999999999
235,High-Value,Female,30,Mass Customer,No,15.0,NSW,"(39.0, 49.0]",8,44.0,4685.820000000001
236,Mid-Value,Male,79,Affluent Customer,No,14.0,VIC,"(59.0, 69.0]",2,66.0,2434.64
237,Mid-Value,Male,18,High Net Worth,Yes,11.0,NSW,"(39.0, 49.0]",11,47.0,3635.04
238,Mid-Value,Male,54,Mass Customer,Yes,14.0,NSW,"(29.0, 39.0]",8,37.0,3112.5700000000006
239,High-Value,Male,62,Affluent Customer,No,3.0,QLD,"(19.0, 29.0]",3,28.0,5928.23
240,Mid-Value,Male,49,High Net Worth,Yes,15.0,NSW,"(29.0, 39.0]",9,31.0,2338.2099999999996
241,Low-Value,Male,94,Mass Customer,No,20.0,QLD,"(29.0, 39.0]",7,33.0,1922.8199999999997
242,Mid-Value,Male,17,Affluent Customer,No,8.0,NSW,"(19.0, 29.0]",9,28.0,2558.7
243,Mid-Value,Female,94,High Net Worth,Yes,14.0,NSW,"(39.0, 49.0]",8,44.0,2193.55
244,Low-Value,Male,57,Affluent Customer,No,8.0,VIC,"(39.0, 49.0]",6,46.0,3269.2
245,Mid-Value,Female,6,Affluent Customer,No,1.0,VIC,"(10.0, 19.0]",1,19.0,2213.0199999999995
246,Mid-Value,Female,63,High Net Worth,No,9.0,QLD,"(29.0, 39.0]",5,30.0,3174.16
247,Mid-Value,Female,62,High Net Worth,Yes,13.0,NSW,"(29.0, 39.0]",4,37.0,4913.16
248,Mid-Value,Female,76,Affluent Customer,Yes,12.0,NSW,"(39.0, 49.0]",10,42.0,3193.3199999999997
249,Mid-Value,Male,65,High Net Worth,No,9.0,NSW,"(19.0, 29.0]",11,28.0,2236.13
